SAs,Memories,Cost
0,0,0
1,1,0.005587667
1,2,0.010688431
1,3,0.017013033
1,4,0.024598611
1,5,0.033916562
1,6,0.045584048
1,7,0.059217568
1,8,0.07638977
1,9,0.097292715
1,10,0.121469087
1,11,0.151977369
1,12,0.188914754
1,13,0.233547139
1,14,0.287370693
1,15,0.352152542
1,16,0.429978875
1,17,0.523311913
1,18,0.635057532
1,19,0.768645748
1,20,0.897095092
2,2,0.011012938
2,3,0.017395925
2,4,0.025055833
2,5,0.03446867
2,6,0.046257624
2,7,0.060030709
2,8,0.077380255
2,9,0.098497454
2,10,0.122917256
2,11,0.153732408
2,12,0.191037487
2,13,0.236109483
2,14,0.290457614
2,15,0.355864367
2,16,0.434434025
2,17,0.528650144
2,18,0.641443793
2,19,0.776274768
2,20,0.906025758
3,3,0.01778276
3,4,0.025517802
3,5,0.035026527
3,6,0.046938207
3,7,0.060852274
3,8,0.078380933
3,9,0.099714486
3,10,0.124380064
3,11,0.155505008
3,12,0.193181237
3,13,0.238696929
3,14,0.293574461
3,15,0.359611813
3,16,0.438931517
3,17,0.534038652
3,18,0.647889694
3,19,0.783974485
3,20,0.915039053
4,4,0.025984566
4,5,0.035590193
4,6,0.047625869
4,7,0.061682347
4,8,0.079391904
4,9,0.100943933
4,10,0.125857652
4,11,0.157295334
4,12,0.1953462
4,13,0.241309708
4,14,0.296721508
4,15,0.363395203
4,16,0.443471734
4,17,0.539477885
4,18,0.654395766
4,19,0.791745525
4,20,0.92413571
5,5,0.036159729
5,6,0.048320683
5,7,0.062521014
5,8,0.080413271
5,9,0.102185915
5,10,0.12735016
5,11,0.159103555
5,12,0.197532574
5,13,0.243948055
5,14,0.299899032
5,15,0.367214865
5,16,0.448055061
5,17,0.5449683
5,18,0.660962545
5,19,0.799588523
5,20,0.933316468
6,6,0.049022721
6,7,0.063368361
6,8,0.081445135
6,9,0.103440554
6,10,0.128857731
6,11,0.160929839
6,12,0.19974056
6,13,0.246612206
6,14,0.30310731
6,15,0.371071126
6,16,0.452681885
6,17,0.550510353
6,18,0.667590573
6,19,0.807504117
6,20,0.942582071
7,7,0.064224475
7,8,0.082487601
7,9,0.104707971
7,10,0.130380511
7,11,0.162774357
7,12,0.201970358
7,13,0.249302398
7,14,0.306346624
7,15,0.374964319
7,16,0.457352599
7,17,0.556104507
7,18,0.674280395
7,19,0.815492952
7,20,0.951933272
8,8,0.083540773
8,9,0.105988292
8,10,0.131918643
8,11,0.164637281
8,12,0.204222173
8,13,0.252018872
8,14,0.309617258
8,15,0.378894778
8,16,0.462067597
8,17,0.561751227
8,18,0.68103256
8,19,0.823555677
8,20,0.961370828
9,9,0.107281642
9,10,0.133472275
9,11,0.166518783
9,12,0.206496208
9,13,0.254761871
9,14,0.312919498
9,15,0.382862841
9,16,0.466827278
9,17,0.567450985
9,18,0.687847625
9,19,0.831692949
9,20,0.970895503
10,10,0.135041554
10,11,0.16841904
10,12,0.208792672
10,13,0.257531638
10,14,0.316253632
10,15,0.386868848
10,16,0.471632043
10,17,0.573204254
10,18,0.694726149
10,19,0.839905428
10,20,0.98050807
11,11,0.170338228
11,12,0.211111772
11,13,0.26032842
11,14,0.319619951
11,15,0.390913143
11,16,0.476482298
11,17,0.579011513
11,18,0.701668697
11,19,0.848193783
11,20,0.990209308
12,12,0.213453719
12,13,0.263152466
12,14,0.323018748
12,15,0.394996071
12,16,0.481378451
12,17,0.584873244
12,18,0.708675839
12,19,0.856558687
12,20,1
