SAs,Memories,Cost
3,90,0.31563856
3,91,0.333013207
3,92,0.351320596
3,93,0.370611392
3,94,0.390939184
3,95,0.412360665
3,96,0.426664366
4,4,0.000715253
4,5,0.000855086
4,6,0.000992572
4,7,0.001150792
4,8,0.001312962
4,9,0.001494269
4,10,0.001683643
4,11,0.001881544
4,12,0.002088453
4,13,0.002328158
4,14,0.002556907
4,15,0.002824597
4,16,0.003077845
4,17,0.003376857
4,18,0.003694479
4,19,0.004031864
4,20,0.004346331
4,21,0.004723161
4,22,0.00512338
4,23,0.005548403
4,24,0.005939728
4,25,0.00641413
4,26,0.006917769
4,27,0.007452375
4,28,0.008019773
4,29,0.008621884
4,30,0.009260732
4,31,0.009938449
4,32,0.010550707
4,33,0.01130539
4,34,0.012105579
4,35,0.012953864
4,36,0.013852975
4,37,0.014805784
4,38,0.015815311
4,39,0.016884738
4,40,0.018017408
4,41,0.019216843
4,42,0.020486742
4,43,0.021831002
4,44,0.023253719
4,45,0.0247592
4,46,0.026351978
4,47,0.028036818
4,48,0.029520544
4,49,0.031385959
4,50,0.033358182
4,51,0.035442983
4,52,0.037646429
4,53,0.039974902
4,54,0.04243511
4,55,0.04503411
4,56,0.047779321
4,57,0.050678545
4,58,0.053739988
4,59,0.056972279
4,60,0.060384494
4,61,0.063986176
4,62,0.067787365
4,63,0.071798621
4,64,0.076031052
4,65,0.080496342
4,66,0.085206786
4,67,0.090175317
4,68,0.095415546
4,69,0.100941796
4,70,0.106769139
4,71,0.112913442
4,72,0.119391406
4,73,0.126220615
4,74,0.133419582
4,75,0.141007804
4,76,0.149005817
4,77,0.157435252
4,78,0.1663189
4,79,0.175680777
4,80,0.185546193
4,81,0.195941829
4,82,0.206895818
4,83,0.218437825
4,84,0.230599142
4,85,0.243412783
4,86,0.256913587
4,87,0.271138327
4,88,0.286125829
4,89,0.301917097
4,90,0.318555447
4,91,0.33608665
4,92,0.354559087
4,93,0.374023915
4,94,0.394535239
4,95,0.416150307
4,96,0.430599898
5,5,0.00088492
5,6,0.00102297
5,7,0.0011824
5,8,0.001345835
5,9,0.001528809
5,10,0.001719942
5,11,0.001919698
5,12,0.002128563
5,13,0.002370754
5,14,0.002601696
5,15,0.002872171
5,16,0.003127874
5,17,0.003429999
5,18,0.003750928
5,19,0.004091826
5,20,0.004409382
5,21,0.004790128
5,22,0.0051945
5,23,0.005623928
5,24,0.006019118
5,25,0.006498417
5,26,0.007007244
5,27,0.007547344
5,28,0.008120559
5,29,0.008728826
5,30,0.009374189
5,31,0.010058797
5,32,0.010677066
5,33,0.011439379
5,34,0.012247632
5,35,0.01310444
5,36,0.014012556
5,37,0.014974877
5,38,0.015994451
5,39,0.017074486
5,40,0.018218357
5,41,0.019429613
5,42,0.020711989
5,43,0.022069413
5,44,0.023506018
5,45,0.025026149
5,46,0.026634377
5,47,0.028335509
5,48,0.029833254
5,49,0.031716597
5,50,0.033707718
5,51,0.035812435
5,52,0.038036871
5,53,0.04038746
5,54,0.04287097
5,55,0.045494519
5,56,0.048265589
5,57,0.051192052
5,58,0.054282183
5,59,0.057544687
5,60,0.060988717
5,61,0.064623902
5,62,0.068460369
5,63,0.072508768
5,64,0.076780305
5,65,0.081286766
5,66,0.086040554
5,67,0.091054715
5,68,0.09634298
5,69,0.101919797
5,70,0.107800373
5,71,0.114000714
5,72,0.120537668
5,73,0.127428975
5,74,0.134693315
5,75,0.142350359
5,76,0.150420825
5,77,0.158926539
5,78,0.167890497
5,79,0.177336933
5,80,0.187291386
5,81,0.197780782
5,82,0.208833508
5,83,0.220479503
5,84,0.232750347
5,85,0.245679361
5,86,0.259301705
5,87,0.273654499
5,88,0.288776931
5,89,0.304710393
5,90,0.321498612
5,91,0.339187794
5,92,0.357826786
5,93,0.377467237
5,94,0.398163778
5,95,0.419974216
5,96,0.434571092
6,6,0.001053678
6,7,0.001214331
6,8,0.001379044
6,9,0.001563705
6,10,0.001756616
6,11,0.001958247
6,12,0.002169089
6,13,0.002413793
6,14,0.002646951
6,15,0.00292024
6,16,0.003178424
6,17,0.003483695
6,18,0.003807965
6,19,0.004152411
6,20,0.00447309
6,21,0.004857791
6,22,0.005266358
6,23,0.005700234
6,24,0.006099329
6,25,0.006583574
6,26,0.007097639
6,27,0.007643288
6,28,0.008222376
6,29,0.00883686
6,30,0.0094888
6,31,0.010180367
6,32,0.010804705
6,33,0.01157472
6,34,0.012391114
6,35,0.013256525
6,36,0.014173732
6,37,0.015145655
6,38,0.016175371
6,39,0.017266114
6,40,0.018421289
6,41,0.019644476
6,42,0.020939444
6,43,0.022310155
6,44,0.023760775
6,45,0.025295691
6,46,0.02691951
6,47,0.028637083
6,48,0.030148974
6,49,0.032050408
6,50,0.034060597
6,51,0.036185412
6,52,0.038431026
6,53,0.04080393
6,54,0.043310952
6,55,0.045959269
6,56,0.048756431
6,57,0.051710375
6,58,0.05482945
6,59,0.058122436
6,60,0.061598567
6,61,0.065267553
6,62,0.06913961
6,63,0.073225482
6,64,0.077536472
6,65,0.082084469
6,66,0.086881985
6,67,0.091942181
6,68,0.097278907
6,69,0.102906739
6,70,0.108841019
6,71,0.115097892
6,72,0.121694359
6,73,0.128648315
6,74,0.135978607
6,75,0.143705081
6,76,0.151848642
6,77,0.160431312
6,78,0.169476295
6,79,0.179008041
6,80,0.189052325
6,81,0.199636314
6,82,0.210788659
6,83,0.222539571
6,84,0.234920924
6,85,0.247966344
6,86,0.261711322
6,87,0.276193322
6,88,0.291451903
6,89,0.307528846
6,90,0.324468293
6,91,0.342316893
6,92,0.36112396
6,93,0.380941641
6,94,0.4018251
6,95,0.423832709
6,96,0.438578279
7,7,0.001246588
7,8,0.001412594
7,9,0.001598959
7,10,0.001793668
7,11,0.001997194
7,12,0.002210035
7,13,0.002457279
7,14,0.002692677
7,15,0.002968809
7,16,0.0032295
7,17,0.00353795
7,18,0.003865596
7,19,0.004213626
7,20,0.004537459
7,21,0.004926156
7,22,0.005338961
7,23,0.005777329
7,24,0.006180368
7,25,0.006669608
7,26,0.007188964
7,27,0.007740216
7,28,0.008325235
7,29,0.008945996
7,30,0.009604578
7,31,0.01030317
7,32,0.010933635
7,33,0.011711425
7,34,0.012536038
